,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
33508,3628,KLAL,medium_airport,Lakeland Linder International Airport,27.988899,-82.018602,142.0,,US,US-FL,Lakeland,no,KLAL,LAL,LAL,,https://en.wikipedia.org/wiki/Lakeland_Linder_Regional_Airport,
33509,20318,KLAM,small_airport,Los Alamos Airport,35.8797988892,-106.268997192,7171.0,,US,US-NM,Los Alamos,no,KLAM,LAM,LAM,,https://en.wikipedia.org/wiki/Los_Alamos_County_Airport,
33510,3629,KLAN,medium_airport,Capital City Airport,42.77870178222656,-84.58740234375,861.0,,US,US-MI,Lansing,yes,KLAN,LAN,LAN,,https://en.wikipedia.org/wiki/Lansing_Capital_City_Airport,
33511,3630,KLAR,medium_airport,Laramie Regional Airport,41.31209945678711,-105.6750030517578,7284.0,,US,US-WY,Laramie,yes,KLAR,LAR,LAR,,https://en.wikipedia.org/wiki/Laramie_Regional_Airport,
33512,3631,KLAS,large_airport,McCarran International Airport,36.08010101,-115.1520004,2181.0,,US,US-NV,Las Vegas,yes,KLAS,LAS,LAS,http://www.mccarran.com/,https://en.wikipedia.org/wiki/McCarran_International_Airport,
33513,20319,KLAW,medium_airport,Lawton Fort Sill Regional Airport,34.5676994324,-98.4166030884,1110.0,,US,US-OK,Lawton,no,KLAW,LAW,LAW,,https://en.wikipedia.org/wiki/Lawton-Fort_Sill_Regional_Airport,
33514,3632,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125.0,,US,US-CA,Los Angeles,yes,KLAX,LAX,LAX,https://www.flylax.com/,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,
33515,3633,KLBB,large_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,3282.0,,US,US-TX,Lubbock,yes,KLBB,LBB,LBB,http://www.flylia.com/,https://en.wikipedia.org/wiki/Lubbock_Preston_Smith_International_Airport,
33516,3634,KLBE,medium_airport,Arnold Palmer Regional Airport,40.27590179,-79.40480042,1199.0,,US,US-PA,Latrobe,yes,KLBE,LBE,LBE,,https://en.wikipedia.org/wiki/Arnold_Palmer_Regional_Airport,
33517,3635,KLBF,medium_airport,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,2777.0,,US,US-NE,North Platte,yes,KLBF,LBF,LBF,,https://en.wikipedia.org/wiki/North_Platte_Regional_Airport,
